#Text,Average,Performance(s)
64,19.209016438571343,0.015625
256 ,18.020493895259555,0.0625
512 ,18.196680729182226,0.15625
1024,32.82310796587102,0.28125
2048 ,23.206357392368954,0.625
4096 ,22.693123108140917,1.109375
8192 ,153.40053483576926,2.203125
8192 ,23.955127631902187,2.28125
16384 ,22.169868117934712,4.515625
32768,26.920644497825116,9.0
65536 ,28.470574750956775,17.578125
131072 ,35.91710894771988,36.46875
262144 ,31.306068045603855,71.0625
524288 ,34.822720208499334,145.5625
1048576 ,42.62276584831533,295.15625
2097152 ,60.384559546130546,586.140625
2097152 ,56.45436751526953,596.5
